Item,Name,Type(RD/WR),Code(VCP),Tag0('O'),Tag1('S'),Tag2('T'),Tag3('A'),Tag4('R'),HiCmd,LoCmd,HiData,LoData,Description
1,ECO Mode,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x11,0x00,EcoModeIdx,"[0..5] follow osd layout sequence, start from 0"
2,Gamma,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x12,0x00,GammaIdx,[0..2]
3,DCR,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x13,0x00,Flag,"1: ON
0: OFF"
4,Set Timing Shutdown function,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x41,0x00,0x00,"TimeData: 16 bits data (in seconds)
TimeData: 0= disable timing shutdown"
5,Over Drive,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x51,0x00,OverDriveIndex,"0x00 = Off
0x01 = Weak
0x02 = Medium
0x03 = Strong
0x04 = Boost"
6,HDR Mode,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x52,0x00,HDRModeIndex,"Old model :
0x00 = Disable
0x01 = Auto
New model :
HDR
0x00 = Off
0x01 = DisplayHDR
0x02 = HDR Picture
0x03 = HDR Movie
0x04 = HDR Game
HDR Mode
0x00 = Off
0x01 = HDR Pivture
0x02 = HDR Movie
0x03 = HDR Game"
7,LED Color,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x53,0x00,LEDColorIndex,"0x00 = Red
0x01 = Green
0x02 = Blue"
8,LED Intensity,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x54,0x00,LEDIntesityIndex,"0x00 = Off
0x01 = Weak
0x02 = Medium
0x03 = Strong"
9,Low Input Lag,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x55,0x00,Flag,
10,USB Charging,R/W,0xE6,0x4F,0x53,0x54,0x41,0x52,0x00,0x56,0x00,Flag,
